car_plate,owner_name,owner_addr,vechicle_type,registration_date
WB 99,Ahmad bin Haziq,"123 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1990-05-02T12:00:58
WG 9406,Ahmad binti Liyana,"351 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1991-07-12T20:47:19
WL 129,Mani a/p Raj,"18 Jalan Bukit Mawar, Kuala Lumpur",SUV,2001-02-06T03:41:43
QU 1240,Mani a/p Suresh,"551 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2005-07-05T00:05:03
ZG 5848,Aisyah bin Nurul,"581 Jalan Bukit Mawar, Kuala Lumpur",Truck,1998-03-03T18:17:19
RA 11,Suresh a/l Deepa,"763 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1993-03-15T08:59:47
JW 31,Lim Hua Hui,"288 Jalan Bukit Mawar, Kuala Lumpur",Truck,1997-03-08T08:43:35
UUK 911,Lee Ling Mei,"403 Jalan Bukit Bintang, Kuala Lumpur",SUV,2000-03-19T14:21:03
YY 95,Chan Ling Jie,"859 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1990-02-12T05:39:08
XAV 8535,Teoh Ling Hua,"458 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2006-08-08T08:49:30
ZA 8,Liyana bin Aisyah,"658 Jalan Bukit Melati, Kuala Lumpur",SUV,2007-01-25T18:49:56
SAU 6228,Aisyah binti Haziq,"290 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1995-11-27T07:02:44
NC 783,Devi a/l Priya,"172 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2001-12-09T15:52:23
AM 191,Deepa a/l Kumar,"120 Jalan Bukit Melati, Kuala Lumpur",Coupe,1999-03-01T20:02:21
ZXT 31,Devi a/p Anita,"936 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2004-12-03T18:16:30
EHE 6240,Ng Hua Wei,"184 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1999-07-16T14:15:02
WBM 71,Raj a/l Kumar,"692 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2008-09-17T07:27:31
NE 589,Foo Hui Wei,"744 Jalan Bukit Bintang, Kuala Lumpur",Truck,1996-03-22T19:19:21
UHD 80,Foo Hui Yan,"324 Jalan Bukit Melati, Kuala Lumpur",Sedan,1996-04-18T04:11:15
OH 864,Nur binti Ahmad,"487 Jalan Bukit Mawar, Kuala Lumpur",Truck,1994-03-05T20:12:22
RJ 73,Haziq bin Azlan,"650 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2003-04-22T18:42:13
UV 0,Siti binti Muhammad,"121 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2009-11-01T13:04:03
WX 2585,Anita a/p Suresh,"365 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1992-03-22T23:21:16
JLO 6,Haziq binti Siti,"571 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2002-06-20T05:46:42
UR 5554,Raj a/p Raj,"795 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2002-10-01T09:00:32
CWT 0058,Goh Jun Yan,"620 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2006-04-19T10:46:08
QB 8777,Arjun a/p Raj,"669 Jalan Bukit Melati, Kuala Lumpur",Coupe,2005-12-30T05:18:59
QAN 0,Ng Jun Xuan,"531 Jalan Bukit Mawar, Kuala Lumpur",SUV,1994-10-03T07:40:41
ML 328,Nur binti Azlan,"454 Jalan Bukit Melati, Kuala Lumpur",Truck,2004-01-04T11:56:39
VUT 0,Ng Ling Yan,"147 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1991-04-03T10:59:39
BQ 76,Muhammad binti Nurul,"831 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2009-12-14T23:26:40
DXK 5,Lakshmi a/l Kumar,"930 Jalan Bukit Bintang, Kuala Lumpur",Truck,2005-11-08T18:52:06
SKD 1693,Ahmad binti Muhammad,"317 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2006-11-09T19:58:05
VP 104,Tan Wei Hua,"820 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1992-06-27T10:30:36
GPK 884,Deepa a/l Kumar,"652 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2002-02-03T19:46:41
VO 5,Devi a/l Deepa,"109 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1991-06-12T18:10:28
BC 976,Lim Ling Jun,"904 Jalan Bukit Bintang, Kuala Lumpur",SUV,1997-09-30T17:02:15
WU 117,Mani a/l Anita,"486 Jalan Bukit Bintang, Kuala Lumpur",Truck,1991-05-30T23:30:05
RO 407,Haziq binti Ahmad,"610 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1994-03-27T13:56:37
DK 2,Ng Mei Ling,"583 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2007-08-28T08:29:41
EN 549,Raj a/p Priya,"964 Jalan Bukit Melati, Kuala Lumpur",Coupe,2006-03-17T22:40:16
EPB 6,Haziq bin Nurul,"586 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1992-11-03T13:42:00
MNV 7,Lakshmi a/p Devi,"283 Jalan Bukit Mawar, Kuala Lumpur",Truck,1999-08-16T15:19:17
JRK 450,Nurul bin Haziq,"854 Jalan Bukit Bintang, Kuala Lumpur",SUV,1998-12-24T07:51:47
ZQY 3331,Tan Yan Jie,"606 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1993-06-14T08:10:21
VEG 4,Arjun a/p Devi,"340 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2008-09-17T14:19:12
TEN 472,Tan Yan Jun,"644 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2000-11-01T02:52:42
FAQ 91,Goh Mei Wei,"603 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1993-05-22T06:57:31
SQN 476,Foo Liang Ling,"45 Jalan Bukit Bintang, Kuala Lumpur",Truck,1999-10-17T00:07:40
NJV 630,Ahmad binti Nur,"573 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1996-12-16T14:41:09
FC 9928,Lim Ling Xuan,"807 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1997-01-22T17:50:30
TV 74,Deepa a/l Arjun,"58 Jalan Bukit Bintang, Kuala Lumpur",SUV,1994-07-22T19:24:09
MF 8,Wong Hua Liang,"652 Jalan Bukit Melati, Kuala Lumpur",Sedan,1994-08-17T23:26:02
ZY 494,Arjun a/l Kumar,"439 Jalan Bukit Mawar, Kuala Lumpur",SUV,2009-10-10T20:43:13
GGQ 6743,Tan Jie Ling,"877 Jalan Bukit Bintang, Kuala Lumpur",SUV,2004-12-29T22:04:40
WQN 18,Azlan bin Aisyah,"442 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2006-02-15T03:48:48
HDM 55,Liyana bin Muhammad,"211 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2010-08-10T10:50:52
WO 17,Goh Jun Wei,"352 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1994-12-01T23:21:05
BO 97,Tan Mei Xuan,"796 Jalan Bukit Melati, Kuala Lumpur",Coupe,2007-02-14T05:38:08
IPB 0243,Suresh a/l Raj,"988 Jalan Bukit Melati, Kuala Lumpur",Coupe,2001-02-09T19:11:26
XY 238,Farid bin Nur,"20 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1998-01-01T06:28:59
CST 5,Aisyah binti Haziq,"823 Jalan Bukit Melati, Kuala Lumpur",Truck,1992-12-03T09:25:04
ZNU 95,Nurul binti Muhammad,"951 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1990-02-21T11:20:25
YV 2,Liyana bin Haziq,"722 Jalan Bukit Melati, Kuala Lumpur",SUV,2010-01-30T22:12:51
TXB 16,Deepa a/p Deepa,"315 Jalan Bukit Bintang, Kuala Lumpur",Truck,2002-07-23T09:54:13
FR 559,Chan Hua Mei,"22 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2008-01-13T22:42:38
DWQ 20,Siti bin Liyana,"866 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2007-07-24T06:13:37
WHU 9592,Ahmad binti Farid,"684 Jalan Bukit Melati, Kuala Lumpur",Coupe,1998-05-13T07:23:31
MZR 8087,Kumar a/l Anita,"761 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1994-09-26T15:19:07
WMU 521,Chong Wei Yan,"517 Jalan Bukit Mawar, Kuala Lumpur",Truck,2004-07-11T20:22:36
DM 527,Azlan binti Ahmad,"169 Jalan Bukit Melati, Kuala Lumpur",Sedan,2005-01-23T08:46:54
MHC 0013,Lakshmi a/p Suresh,"904 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1996-11-24T01:55:43
CB 6,Muhammad bin Aisyah,"584 Jalan Bukit Melati, Kuala Lumpur",Coupe,2006-01-15T05:58:27
HM 44,Suresh a/p Raj,"136 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-08-07T13:08:19
UGT 403,Siti bin Nur,"107 Jalan Bukit Bintang, Kuala Lumpur",Truck,2008-05-25T00:35:41
BKN 8316,Liyana binti Nur,"463 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1996-08-02T10:29:03
UFA 515,Farid binti Aisyah,"727 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1998-09-25T11:44:55
UJ 97,Lim Jie Xuan,"111 Jalan Bukit Mawar, Kuala Lumpur",SUV,2004-12-31T23:42:00
QK 89,Foo Hua Jie,"105 Jalan Bukit Melati, Kuala Lumpur",SUV,1990-01-14T09:30:05
FKQ 3086,Lakshmi a/p Devi,"865 Jalan Bukit Melati, Kuala Lumpur",Coupe,1991-03-13T21:39:55
IFJ 442,Mani a/p Lakshmi,"650 Jalan Bukit Melati, Kuala Lumpur",Truck,2003-04-27T05:50:51
BOF 419,Wong Liang Xuan,"894 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1997-01-23T13:02:39
YWA 57,Foo Hui Liang,"891 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2008-12-23T09:26:47
YA 7105,Haziq binti Azlan,"491 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1995-03-10T14:48:22
PSR 9,Tan Liang Xuan,"422 Jalan Bukit Melati, Kuala Lumpur",Sedan,1999-03-17T15:34:46
UT 5728,Anita a/p Deepa,"846 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2007-02-03T10:47:23
TA 6701,Arjun a/l Mani,"822 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2002-02-06T05:01:19
NJF 7,Wong Yan Jun,"858 Jalan Bukit Bintang, Kuala Lumpur",SUV,1990-09-08T10:49:21
MQC 220,Lakshmi a/p Priya,"552 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1999-11-08T17:53:48
ZQ 35,Priya a/l Anita,"253 Jalan Bukit Mawar, Kuala Lumpur",SUV,2001-05-20T02:00:29
MTF 043,Anita a/p Arjun,"381 Jalan Bukit Bintang, Kuala Lumpur",SUV,2003-07-08T01:40:04
ORW 5,Foo Mei Hui,"313 Jalan Bukit Melati, Kuala Lumpur",SUV,1995-06-21T14:06:55
COB 037,Raj a/p Kumar,"740 Jalan Bukit Mawar, Kuala Lumpur",SUV,1998-04-01T06:20:48
WHC 24,Haziq binti Farid,"888 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1994-01-22T19:33:56
IO 1540,Nurul bin Aisyah,"368 Jalan Bukit Melati, Kuala Lumpur",Sedan,2003-10-08T06:42:45
WR 41,Nur bin Azlan,"407 Jalan Bukit Bintang, Kuala Lumpur",Truck,2009-09-03T07:12:00
ME 6072,Farid bin Nurul,"40 Jalan Bukit Mawar, Kuala Lumpur",SUV,1990-09-03T10:37:06
IEF 0,Siti bin Aisyah,"871 Jalan Bukit Melati, Kuala Lumpur",SUV,1998-10-16T18:42:14
MUQ 566,Kumar a/p Mani,"769 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1997-12-01T16:14:15
GG 3147,Priya a/p Raj,"955 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2001-01-22T11:00:01
SX 0,Chong Hua Xuan,"816 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1990-07-08T00:38:12
GH 903,Nur bin Aisyah,"856 Jalan Bukit Melati, Kuala Lumpur",Coupe,2009-05-24T12:40:40
HN 2086,Priya a/p Raj,"228 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1994-06-27T08:16:49
JM 10,Siti bin Azlan,"67 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2005-01-13T19:36:29
YON 910,Liyana binti Farid,"384 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1992-10-19T07:12:41
QJ 5,Devi a/l Anita,"406 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1996-01-11T11:50:43
ER 9430,Haziq bin Liyana,"944 Jalan Bukit Mawar, Kuala Lumpur",Truck,2003-06-21T01:19:02
JH 02,Chong Liang Jun,"325 Jalan Bukit Melati, Kuala Lumpur",Sedan,1997-07-23T18:33:38
QA 9302,Lakshmi a/l Lakshmi,"401 Jalan Bukit Melati, Kuala Lumpur",Coupe,2001-01-02T23:57:49
BRG 9,Tan Jun Mei,"102 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2010-03-21T01:47:30
FO 32,Kumar a/p Mani,"753 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1999-08-04T04:52:40
RN 5628,Chan Hui Liang,"330 Jalan Bukit Melati, Kuala Lumpur",Coupe,1996-08-28T06:40:14
NQO 9,Raj a/l Deepa,"502 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2010-05-20T23:59:19
UW 2266,Kumar a/p Anita,"568 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2005-09-08T02:30:22
WYI 28,Arjun a/p Anita,"264 Jalan Bukit Melati, Kuala Lumpur",SUV,1995-09-07T04:33:12
FFO 52,Kumar a/p Deepa,"476 Jalan Bukit Melati, Kuala Lumpur",SUV,1992-10-25T12:56:05
QDO 083,Tan Jun Hua,"691 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2003-12-21T14:25:44
DGV 5968,Suresh a/l Mani,"552 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1992-01-12T12:38:16
TS 3,Azlan binti Liyana,"922 Jalan Bukit Melati, Kuala Lumpur",Coupe,1990-06-10T01:30:50
VGU 1734,Siti bin Azlan,"436 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2001-06-30T14:56:25
VWX 572,Lakshmi a/l Devi,"300 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2008-05-16T09:21:03
UER 6,Goh Hua Liang,"493 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2005-10-02T10:25:34
GXV 444,Nur binti Aisyah,"435 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2008-10-18T22:30:32
RA 98,Ahmad bin Liyana,"855 Jalan Bukit Melati, Kuala Lumpur",Truck,2001-10-10T14:07:08
BJ 4,Nur bin Nurul,"421 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1994-08-17T15:56:05
PJ 94,Ahmad bin Azlan,"794 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1994-01-12T03:34:20
KER 230,Devi a/l Devi,"634 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-08-21T10:06:06
KOD 3,Mani a/l Lakshmi,"210 Jalan Bukit Melati, Kuala Lumpur",Coupe,2001-11-14T02:00:01
QK 92,Wong Jun Xuan,"271 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1995-10-24T08:20:16
QXZ 1375,Raj a/l Lakshmi,"651 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1998-06-10T06:21:44
QJR 852,Azlan binti Siti,"307 Jalan Bukit Mawar, Kuala Lumpur",Truck,1996-02-27T00:20:19
ML 10,Wong Yan Hua,"637 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2005-08-30T02:58:16
EDQ 002,Suresh a/p Raj,"401 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2000-08-14T14:58:49
UY 410,Raj a/l Mani,"588 Jalan Bukit Melati, Kuala Lumpur",Truck,2000-08-21T22:31:23
NLL 8,Liyana binti Aisyah,"163 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2006-03-10T18:19:35
EZ 0325,Teoh Mei Jun,"814 Jalan Bukit Melati, Kuala Lumpur",Coupe,2004-09-16T18:19:28
JPJ 434,Goh Jie Hui,"114 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1991-09-10T19:39:10
YUN 6,Chan Hua Yan,"757 Jalan Bukit Melati, Kuala Lumpur",SUV,2002-04-29T05:15:12
JF 8897,Priya a/p Priya,"466 Jalan Bukit Melati, Kuala Lumpur",SUV,2006-08-29T12:56:20
HPL 45,Chan Wei Xuan,"802 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2009-12-16T06:47:18
FMI 3,Lakshmi a/l Devi,"283 Jalan Bukit Melati, Kuala Lumpur",Sedan,2009-05-19T18:46:08
NDB 8,Chong Xuan Liang,"366 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2002-09-02T00:27:57
XYE 28,Foo Xuan Ling,"778 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1998-02-01T02:31:59
QEC 03,Aisyah bin Farid,"973 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-08-07T22:57:22
AHP 9,Lakshmi a/p Kumar,"286 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2010-05-07T12:53:32
RRL 81,Devi a/l Arjun,"594 Jalan Bukit Melati, Kuala Lumpur",Truck,1997-02-27T01:02:43
ZZ 183,Chong Yan Xuan,"962 Jalan Bukit Bintang, Kuala Lumpur",Truck,1990-05-14T15:12:08
HHR 764,Tan Jie Mei,"166 Jalan Bukit Melati, Kuala Lumpur",Truck,2009-11-18T21:16:20
IG 73,Goh Xuan Ling,"893 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1993-01-10T04:24:14
WC 70,Deepa a/p Anita,"907 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1999-03-18T08:28:46
SW 09,Kumar a/p Raj,"788 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2004-10-31T00:18:28
EJ 7670,Priya a/l Mani,"446 Jalan Bukit Melati, Kuala Lumpur",SUV,2003-07-22T21:57:05
QJB 31,Tan Wei Jie,"319 Jalan Bukit Melati, Kuala Lumpur",Sedan,1994-08-15T08:07:39
KF 4,Chan Hui Yan,"643 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1990-09-18T11:11:08
ZUA 0009,Arjun a/p Mani,"136 Jalan Bukit Melati, Kuala Lumpur",SUV,2005-02-20T20:27:45
HA 6956,Liyana bin Muhammad,"575 Jalan Bukit Melati, Kuala Lumpur",Coupe,2000-03-11T16:12:13
VZN 70,Haziq bin Liyana,"75 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2006-01-24T04:26:38
GRW 7,Mani a/p Suresh,"759 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1999-09-10T20:50:38
IF 6,Deepa a/p Mani,"240 Jalan Bukit Melati, Kuala Lumpur",Sedan,1999-12-29T04:46:15
SVH 33,Devi a/p Devi,"245 Jalan Bukit Mawar, Kuala Lumpur",SUV,1990-06-16T00:15:58
MEU 1,Teoh Hua Jie,"537 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1992-02-27T16:38:52
HAX 93,Nur bin Haziq,"864 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1999-04-29T13:50:12
SZ 3784,Foo Liang Hui,"336 Jalan Bukit Melati, Kuala Lumpur",SUV,2007-04-16T21:49:42
WN 90,Liyana bin Farid,"82 Jalan Bukit Bintang, Kuala Lumpur",Truck,1998-04-12T06:18:21
BRW 031,Anita a/p Raj,"38 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2010-08-31T15:27:56
JW 7,Teoh Mei Jun,"73 Jalan Bukit Melati, Kuala Lumpur",Truck,1997-08-06T05:25:22
USE 57,Raj a/l Devi,"192 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2004-03-10T11:11:57
TQ 44,Deepa a/l Arjun,"805 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2001-09-11T16:34:17
GVX 71,Anita a/l Anita,"876 Jalan Bukit Melati, Kuala Lumpur",Sedan,1997-03-21T13:28:06
YYB 5,Ng Hui Liang,"827 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1997-02-10T19:47:47
FWZ 0,Liyana bin Nurul,"240 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1995-08-25T11:08:06
VNT 18,Tan Jie Liang,"842 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1993-10-14T09:37:07
KX 7,Aisyah binti Nur,"71 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2009-10-03T06:55:03
PTO 0146,Wong Mei Yan,"189 Jalan Bukit Melati, Kuala Lumpur",Coupe,1993-08-23T02:51:25
RQH 732,Priya a/l Lakshmi,"388 Jalan Bukit Melati, Kuala Lumpur",Sedan,2004-09-17T13:41:25
MA 9034,Devi a/p Mani,"915 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1994-10-23T10:54:47
NO 13,Kumar a/p Lakshmi,"181 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2009-05-29T18:49:53
VFV 4,Nurul bin Farid,"573 Jalan Bukit Mawar, Kuala Lumpur",SUV,2009-05-28T23:37:00
HWX 95,Azlan binti Ahmad,"979 Jalan Bukit Melati, Kuala Lumpur",Sedan,1992-03-29T18:38:35
ERF 113,Wong Ling Jun,"40 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1997-04-16T19:03:39
TA 12,Muhammad bin Siti,"421 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2010-12-18T01:45:25
QD 7417,Mani a/l Kumar,"242 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1993-06-19T07:54:54
HRH 09,Lim Liang Hua,"686 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1992-06-15T13:26:57
BRN 6,Wong Liang Hua,"386 Jalan Bukit Melati, Kuala Lumpur",Truck,1998-03-26T05:48:46
HH 02,Azlan bin Aisyah,"28 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1996-03-17T23:47:16
AN 84,Devi a/p Suresh,"445 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1993-10-01T20:29:59
XJ 4,Nur bin Aisyah,"616 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1993-10-31T00:36:22
DZN 876,Nur binti Haziq,"796 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2003-12-07T21:01:27
JQL 5073,Foo Yan Hua,"195 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2009-06-03T21:56:39
UD 45,Nurul binti Azlan,"204 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2007-11-21T01:41:27
CAA 2354,Lee Yan Jun,"534 Jalan Bukit Melati, Kuala Lumpur",SUV,1994-04-05T22:21:59
VB 076,Anita a/p Devi,"151 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1998-03-09T02:11:33
KD 20,Mani a/l Lakshmi,"987 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1992-05-20T09:01:44
QU 0,Foo Hua Jun,"703 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1997-05-06T12:58:01
GJT 7187,Arjun a/l Mani,"422 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1995-10-17T17:44:39
TV 83,Liyana bin Ahmad,"133 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1991-11-13T15:44:59
PDE 06,Lim Liang Ling,"283 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2006-02-17T19:54:34
YS 945,Goh Wei Mei,"430 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2004-04-20T06:55:31
ZYT 8545,Teoh Hua Jie,"289 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1994-04-15T20:50:08
QJM 46,Lim Jie Xuan,"947 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1993-11-27T14:27:35
HOW 201,Tan Xuan Ling,"775 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1998-01-27T13:07:35
MG 975,Foo Yan Xuan,"976 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2005-01-16T02:55:15
EB 8272,Haziq binti Ahmad,"103 Jalan Bukit Melati, Kuala Lumpur",Coupe,1999-10-31T10:04:28
NAQ 4,Arjun a/l Devi,"760 Jalan Bukit Mawar, Kuala Lumpur",SUV,2009-12-09T12:46:18
JLG 474,Lakshmi a/l Kumar,"873 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1994-11-09T06:07:17
CW 60,Lakshmi a/l Priya,"430 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2000-09-24T08:53:46
ONG 6,Raj a/l Priya,"628 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1996-11-09T04:45:01
NJB 1278,Farid bin Aisyah,"308 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2005-07-04T12:40:44
BEO 1,Wong Xuan Hui,"966 Jalan Bukit Bintang, Kuala Lumpur",Truck,2007-10-11T16:58:57
VJB 2991,Suresh a/l Anita,"938 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2010-04-13T23:18:36
YL 8534,Nur bin Siti,"199 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1996-11-16T22:10:10
FT 06,Anita a/l Anita,"826 Jalan Bukit Bintang, Kuala Lumpur",SUV,1997-12-18T13:24:31
WS 9713,Muhammad binti Farid,"240 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2001-04-18T04:07:41
CKN 72,Chan Hua Ling,"966 Jalan Bukit Melati, Kuala Lumpur",Sedan,2008-06-18T17:23:14
PXX 3,Azlan bin Siti,"294 Jalan Bukit Bintang, Kuala Lumpur",Truck,2001-05-19T17:22:53
YFI 27,Mani a/l Kumar,"806 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1994-08-06T07:47:20
QB 82,Mani a/l Suresh,"789 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1994-07-23T10:50:08
ND 6,Siti binti Nur,"432 Jalan Bukit Bintang, Kuala Lumpur",Truck,1999-11-22T21:24:47
PKY 7,Foo Yan Mei,"808 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2009-08-21T05:18:07
FS 09,Foo Mei Hua,"681 Jalan Bukit Mawar, Kuala Lumpur",SUV,1998-04-13T00:04:17
WS 8195,Suresh a/l Suresh,"401 Jalan Bukit Melati, Kuala Lumpur",Truck,1996-03-13T16:02:46
PI 0,Arjun a/l Priya,"33 Jalan Bukit Melati, Kuala Lumpur",Truck,1999-08-29T00:08:15
PJG 840,Haziq bin Nurul,"580 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1991-03-12T20:55:53
UHI 9,Nur binti Aisyah,"663 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2006-08-02T13:35:53
SA 997,Ahmad binti Liyana,"509 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2000-03-04T09:04:14
FV 2,Foo Hua Xuan,"805 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2009-10-13T03:22:47
AXJ 8259,Goh Wei Mei,"186 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1991-03-17T03:58:55
DZE 7,Liyana bin Azlan,"970 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1995-05-03T07:09:10
KW 35,Muhammad bin Ahmad,"315 Jalan Bukit Bintang, Kuala Lumpur",Truck,1998-05-31T11:20:11
CQ 0,Chong Jie Xuan,"193 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1998-12-14T13:40:33
